max_vibr,max_f1,max_f2,max_f3,max_dist,min_vibr,min_dist,mean_vibr,mean_dist,std_vibr,std_dist,labels
747.0,228.0,579.0,501.0,83.0,0.0,37.0,130.39,47.05,136.4126749975969,13.440517103147483,0.0
790.0,228.0,579.0,501.0,83.0,0.0,37.0,136.48,47.29,151.31612471907943,13.52648882748217,0.0
790.0,228.0,579.0,501.0,83.0,0.0,37.0,141.22,47.63,159.19746103503033,13.764196307812528,0.0
790.0,228.0,579.0,501.0,84.0,0.0,37.0,144.06,48.07,161.68202250095712,14.209331440993273,0.0
790.0,228.0,579.0,501.0,84.0,0.0,37.0,145.85,48.51,162.57129974260525,14.597599117663151,0.0
790.0,228.0,579.0,501.0,84.0,0.0,37.0,145.64,48.91,162.39713790581408,14.876891476380408,0.0
790.0,228.0,579.0,501.0,84.0,0.0,37.0,144.59,49.31,161.57791278513284,15.166868496825574,0.0
790.0,228.0,579.0,501.0,84.0,0.0,37.0,143.61,49.72,161.23243439209122,15.48746589988175,0.0
790.0,228.0,579.0,501.0,84.0,0.0,37.0,143.19,50.12,161.1631282272716,15.796379331986175,0.0
790.0,228.0,579.0,501.0,84.0,0.0,37.0,144.66,50.31,161.7783186956769,15.811827851326992,0.0
790.0,228.0,579.0,501.0,84.0,0.0,37.0,147.82,50.69,163.8696665035967,16.014802527661715,0.0
790.0,228.0,579.0,501.0,85.0,0.0,37.0,150.52,51.15,164.47537688055317,16.32995713405274,0.0
790.0,228.0,579.0,501.0,85.0,0.0,37.0,152.54,51.47,164.18613948808226,16.460531583153685,0.0
790.0,228.0,579.0,501.0,85.0,0.0,37.0,154.06,51.89,163.99809876946745,16.74687732086194,0.0
790.0,228.0,579.0,501.0,85.0,0.0,37.0,154.58,52.15,163.99074242163795,16.746566812334997,0.0
790.0,228.0,579.0,501.0,86.0,0.0,37.0,154.72,52.59,163.97482001819668,17.04939588372562,0.0
790.0,228.0,579.0,501.0,86.0,0.0,37.0,155.21,52.95,163.85983614052589,17.18043945887299,0.0
790.0,228.0,579.0,501.0,86.0,0.0,37.0,155.73,52.99,163.68053366237538,17.157211311865343,0.0
790.0,228.0,579.0,501.0,86.0,0.0,37.0,157.5,52.99,163.41955207379561,17.15721131186534,0.0
